match_id,date,venue,team1,team2,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,Match
1,"March 28, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,SRH,RCB,Bowl,201.0,9.0,203.0,4.0,completed,RCB,Jacob Duffy,Ishan Kishan,80.0,Jacob Duffy,3--22,RCB v/s SRH
2,"March 29, 2026","Wankhede Stadium, Mumbai",MI,KKR,MI,Bowl,220.0,4.0,224.0,4.0,completed,MI,Shardul Thakur,Ryan Rickelton,81.0,Shardul Thakur,3--39,MI v/s KKR
3,"March 30, 2026","Barsapara Stadium, Guwahati",RR,CSK,RR,Bowl,127.0,10.0,128.0,2.0,completed,RR,Nandre Burger,Vaibhav Sooryavanshi,52.0,Jofra Archer,2--19,RR v/s CSK
4,"March 31, 2026","New PCA Cricket Stadium, Mullanpur",PBKS,GT,PBKS,Bowl,162.0,6.0,165.0,7.0,completed,PBKS,Cooper Connolly,Cooper Connolly,72.0,Prasidh Krishna,3--29,PBKS v/s GT
5,"April 01, 2026","Ekana Cricket Stadium, Lucknow",LSG,DC,DC,Bowl,141.0,10.0,145.0,4.0,completed,DC,Sameer Rizvi,Sameer Rizvi,70.0,Lungi Ngidi,3--27,LSG v/s DC
6,"April 02, 2026","Eden Gardens, Kolkata",KKR,SRH,KKR,Bowl,226.0,8.0,161.0,10.0,completed,SRH,Nitish Kumar Reddy,Angkrish Raghuvanshi,52.0,Blessing Muzarabani,4--41,KKR v/s SRH
7,"April 03, 2026","MA Chidambaram Stadium, Chennai",CSK,PBKS,PBKS,Bowl,209.0,5.0,210.0,5.0,completed,PBKS,Priyansh Arya,Ayush Matre,73.0,Vijaykumar Vyshak,2--38,CSK v/s PBKS
8,"April 04, 2026","Arun Jaitley Stadium, Delhi",DC,MI,DC,Bowl,162.0,6.0,164.0,4.0,completed,DC,Sameer Rizvi,Sameer Rizvi,90.0,Mukesh Kumar,2--26,DC v/s MI
9,"April 04, 2026","Narendra Modi Stadium, Ahmedabad",GT,RR,RR,Bat,210.0,6.0,204.0,8.0,completed,RR,Ravi Bishnoi,Dhruv Jurel,75.0,Ravi Bishnoi,4--41,GT v/s RR
10,"April 05, 2026","Rajiv Gandhi International Stadium, Hyderabad",SRH,LSG,LSG,Bowl,156.0,9.0,160.0,5.0,completed,LSG,Mohammed Shami,Rishabh Pant,68.0,Mohammed Shami,2--9,SRH v/s LSG
11,"April 05, 2026","M. Chinnaswamy Stadium, Bangalore",RCB,CSK,CSK,Bowl,250.0,3.0,207.0,10.0,completed,RCB,Tim David,Tim David,70.0,Bhuvneshwar Kumar,3--41,RCB v/s CSK
12,"April 06, 2026","Eden Gardens, Kolkata",KKR,PBKS,KKR,Bat,,,,,abandoned,,,,,,,KKR v/s PBKS
